월별일자,전년(거래량),금년(거래량),작년대비(거래량),전년(거래금액),금년(거래금액),작년대비(거래금액)
2020-01,19,14,25.4% ▼,84219,74342,11.73% ▼
2020-02,20,15,25.74% ▼,90762,50938,43.88% ▼
2020-03,18,7,59.93% ▼,56467,20194,64.24% ▼
2020-04,23,11,49.59% ▼,62452,35024,43.92% ▼
2020-05,26,19,27.37% ▼,102584,73798,28.06% ▼
2020-06,11,12,13.2% ▲,33129,39923,20.51% ▲
2020-07,11,10,9.74% ▼,33248,38612,16.13% ▲
2020-08,11,9,17.96% ▼,37638,34818,7.49% ▼
2020-09,12,8,31.45% ▼,46112,39400,14.56% ▼
2020-10,11,10,7.1% ▼,52424,46704,10.91% ▼
2020-11,14,12,14.69% ▼,66083,58063,12.14% ▼
2020-12,13,12,10.14% ▼,85252,55026,35.46% ▼
합계,195,144,25.77% ▼,750375,566845,24.46% ▼
