월별일자,전년(거래량),금년(거래량),작년대비(거래량),전년(거래금액),금년(거래금액),작년대비(거래금액)
2020-01,33,30,10.79% ▼,119989,112937,5.88% ▼
2020-02,42,33,19.93% ▼,156000,105572,32.33% ▼
2020-03,34,19,43.67% ▼,104228,46335,55.54% ▼
2020-04,41,28,30.13% ▼,129500,75183,41.94% ▼
2020-05,47,43,9.36% ▼,188733,126957,32.73% ▼
2020-06,24,34,41.96% ▲,72203,96083,33.07% ▲
2020-07,29,33,12.19% ▲,62508,90532,44.83% ▲
2020-08,21,25,17.67% ▲,62558,95367,52.45% ▲
2020-09,26,21,21.27% ▼,89213,90978,1.98% ▲
2020-10,28,29,5.03% ▲,97607,108036,10.68% ▲
2020-11,37,31,16.69% ▼,116734,114222,2.15% ▼
2020-12,35,27,24.36% ▼,152475,112236,26.39% ▼
합계,404,358,11.31% ▼,1351754,1174444,13.12% ▼
