월별일자,전년(거래량),금년(거래량),작년대비(거래량),전년(거래금액),금년(거래금액),작년대비(거래금액)
2020-01,147,131,10.58% ▼,634475,642228,1.22% ▲
2020-02,171,138,19.62% ▼,698943,511212,26.86% ▼
2020-03,177,158,10.7% ▼,533713,425838,20.21% ▼
2020-04,185,179,3.06% ▼,574000,496727,13.46% ▼
2020-05,222,206,7.15% ▼,863293,763367,11.57% ▼
2020-06,143,145,1.7% ▲,439408,427365,2.74% ▼
2020-07,138,145,5.15% ▲,336484,493515,46.67% ▲
2020-08,131,121,7.58% ▼,444886,440486,0.99% ▼
2020-09,129,105,18.66% ▼,454928,452886,0.45% ▼
2020-10,147,131,11.24% ▼,585867,540509,7.74% ▼
2020-11,142,139,2.2% ▼,562144,629617,12% ▲
2020-12,146,128,12.34% ▼,763206,551696,27.71% ▼
합계,1885,1732,8.08% ▼,6891353,6375452,7.49% ▼
